Titulo,Cifra,Fecha,Valor,Año,Mes,Nombre_Mes,Dia,Serie
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/03/2017,132.3231407,2017,3,March,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/04/2017,131.2827808,2017,4,April,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/05/2017,130.1182154,2017,5,May,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/06/2017,130.2539526,2017,6,June,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/07/2017,130.2267933,2017,7,July,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/08/2017,130.8112011,2017,8,August,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/09/2017,131.3307592,2017,9,September,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/10/2017,133.8393504,2017,10,October,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/11/2017,136.7440916,2017,11,November,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/12/2017,137.6437734,2017,12,December,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/01/2018,139.3736212,2018,1,January,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/02/2018,140.5606516,2018,2,February,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/03/2018,140.872294,2018,3,March,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/04/2018,139.4223117,2018,4,April,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/05/2018,138.4721012,2018,5,May,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/06/2018,139.1872856,2018,6,June,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/07/2018,139.8479391,2018,7,July,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC)",96.57547944,01/02/2010,97.13405005,2010,2,February,1,INPC General
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",96.57547944,01/02/2010,97.13405005,2010,2,February,1,INPC General
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC)",96.57547944,01/03/2010,97.8236434,2010,3,March,1,INPC General
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",96.57547944,01/03/2010,97.8236434,2010,3,March,1,INPC General
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC)",96.57547944,01/04/2010,97.5119472,2010,4,April,1,INPC General
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",96.57547944,01/04/2010,97.5119472,2010,4,April,1,INPC General
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC)",96.57547944,01/05/2010,96.89751953,2010,5,May,1,INPC General
